date,nudge,display,id,review_rate,conversion_rate
2020-02-15,F,31904,1,0.007867352056168505,0.0796812749003984
2020-02-15,D,33989,2,0.008296801906499162,0.07092198581560284
2020-02-15,C,32239,3,0.007041161326343869,0.05286343612334802
2020-02-15,A,32029,4,0.012832120890443036,0.0681265206812652
2020-02-16,F,32820,5,0.009993906154783669,0.003048780487804878
2020-02-16,D,37236,6,0.009587495971640348,NA
2020-02-16,C,24789,7,0.0067771995643228855,NA
2020-02-16,A,37750,8,0.013589403973509934,0.001949317738791423
2020-02-17,F,12824,9,0.008031815346225827,0.05825242718446602
2020-02-17,D,14166,10,0.009388677114217139,0.03759398496240601
2020-02-17,A,14240,11,0.013132022471910112,0.026737967914438502
2020-02-18,C,9378,12,0.005544892301130305,0.07692307692307693
2020-02-18,A,8605,13,0.01115630447414294,0.08333333333333333
2020-02-19,D,42045,14,0.0056606017362349865,0.14285714285714285
2020-02-19,C,42394,15,0.004434589800443459,0.07446808510638298
2020-02-19,A,40813,16,0.009090240854629653,0.1347708894878706
2020-02-20,F,48048,17,0.007388444888444888,0.13802816901408452
2020-02-20,D,42148,18,0.006572079339470438,0.10469314079422383
2020-02-20,C,40826,19,0.004800862195659629,0.07142857142857142
2020-02-20,A,36170,20,0.010174177495161736,0.12228260869565218
2020-02-21,F,48829,21,0.006840197423662168,0.1437125748502994
2020-02-21,D,35758,22,0.005621119749426702,0.06467661691542288
2020-02-21,C,41275,23,0.004239854633555421,0.08571428571428572
2020-02-21,A,36409,24,0.008377049630585845,0.11147540983606558
2020-02-22,F,37116,25,0.007409203577971764,0.16363636363636364
2020-02-22,D,31675,26,0.006250986582478295,0.08585858585858586
2020-02-22,C,38476,27,0.004678240981390997,0.1111111111111111
2020-02-22,A,32891,28,0.009759508680186069,0.12461059190031153
2020-02-23,F,39411,29,0.006064296769937327,0.100418410041841
2020-02-23,D,36190,30,0.005360596849958552,0.07731958762886598
2020-02-23,C,36885,31,0.0043649179883421445,0.08074534161490683
2020-02-23,A,35936,32,0.008181211041852182,0.12244897959183673
2020-02-24,F,35924,33,0.005539472219129273,0.11055276381909548
2020-02-24,D,39040,34,0.005302254098360656,0.0966183574879227
2020-02-24,C,39846,35,0.004241329117100838,0.10650887573964497
2020-02-24,A,37016,36,0.00853684893019235,0.09177215189873418
2020-02-25,C,36164,37,0.004230726689525495,0.06535947712418301
2020-02-25,A,36333,38,0.008504665180414499,0.09385113268608414
2020-02-25,D,36495,39,0.00468557336621455,0.1111111111111111
2020-02-25,F,35030,40,0.006537253782472167,0.15283842794759825
2020-02-26,C,32819,41,0.0038697096194277706,0.07086614173228346
2020-02-26,A,36976,42,0.007951103418433579,0.09523809523809523
2020-02-26,D,37628,43,0.005474646539810779,0.0970873786407767
2020-02-26,F,34003,44,0.005352468899802959,0.09340659340659341
2020-02-27,C,35884,45,0.004235871140341099,0.10526315789473684
2020-02-27,A,38128,46,0.008366554762903903,0.10344827586206896
2020-02-27,D,38298,47,0.00503942764635229,0.06735751295336788
2020-02-27,F,35472,48,0.005920162381596752,0.08095238095238096
2020-02-28,A,39348,49,0.006378977330486937,0.09561752988047809
2020-02-28,C,38936,50,0.003544277789192521,0.09420289855072464
2020-02-28,F,36991,51,0.004595712470600957,0.08823529411764706
2020-02-28,D,40187,52,0.004056038022246,0.06748466257668712
2020-02-29,D,43503,53,0.004413488724915523,0.07291666666666667
2020-02-29,C,41027,54,0.003753625661149974,0.05844155844155844
2020-02-29,A,40405,55,0.007028833065214701,0.07042253521126761
2020-02-29,F,38606,56,0.00510283375641092,0.08121827411167512
2020-03-01,C,47264,57,0.003596817874069059,0.06470588235294118
2020-03-01,D,50505,58,0.004059004059004059,0.0975609756097561
2020-03-01,A,48747,59,0.0072414712700268734,0.0906515580736544
2020-03-01,F,47033,60,0.005187846830948483,0.0942622950819672
2020-03-02,F,56259,61,0.004603707851188255,0.09652509652509653
2020-03-02,D,62955,62,0.004193471527281391,0.05303030303030303
2020-03-02,C,58201,63,0.003161457706912252,0.07608695652173914
2020-03-02,A,61550,64,0.006953696181965881,0.08878504672897196
2020-03-03,F,81080,65,0.003774050320670942,0.07516339869281045
2020-03-03,D,85886,66,0.0035861490813403813,0.06493506493506493
2020-03-03,C,84143,67,0.002828518117965844,0.05042016806722689
2020-03-03,A,85320,68,0.006012658227848101,0.08966861598440545
2020-03-04,F,76697,69,0.004224415557322972,0.10802469135802469
2020-03-04,D,82875,70,0.003414781297134238,0.038869257950530034
2020-03-04,C,81417,71,0.003070611788692779,0.044
2020-03-04,A,80354,72,0.006421584488637778,0.09883720930232558
2020-03-05,F,76681,73,0.003429793560334372,0.07984790874524715
2020-03-05,D,76433,74,0.0034147554066960607,0.06896551724137931
2020-03-05,C,76530,75,0.0027570887233764538,0.02843601895734597
2020-03-05,A,76300,76,0.005439056356487549,0.07228915662650602
2020-03-06,F,69742,77,0.004115167331020045,0.11498257839721254
2020-03-06,D,72061,78,0.0033998973092241296,0.06938775510204082
2020-03-06,C,71342,79,0.002929550615345799,0.07655502392344497
2020-03-06,A,70227,80,0.005382545174932718,0.09788359788359788
2020-03-07,F,74408,81,0.004018385119879583,0.0802675585284281
2020-03-07,D,80600,82,0.003337468982630273,0.08550185873605948
2020-03-07,C,75113,83,0.0027691611305632846,0.04326923076923077
2020-03-07,A,70414,84,0.005169426534495981,0.10989010989010989
2020-03-08,F,747,85,0.002677376171352075,0.5
2020-03-08,D,599,86,0.00333889816360601,0
2020-03-08,C,722,87,0.002770083102493075,0
2020-03-08,A,193,88,0.0051813471502590676,0
2020-03-09,F,995,89,0.003015075376884422,0
2020-03-09,D,899,90,0.0033370411568409346,0
2020-03-09,C,722,91,0.002770083102493075,0
2020-03-09,A,580,92,0.005172413793103448,0
2020-03-10,F,45122,93,0.004543238331634236,0.11219512195121951
2020-03-10,D,49078,94,0.0036472553893801703,0.0782122905027933
2020-03-10,C,50483,95,0.0031297664560347048,0.0759493670886076
2020-03-10,A,46899,96,0.005032090236465597,0.11864406779661017
2020-03-11,F,48160,97,0.004692691029900332,0.07964601769911504
2020-03-11,D,55021,98,0.003598625979171589,0.09090909090909091
2020-03-11,C,57720,99,0.0025294525294525293,0.0547945205479452
2020-03-11,A,49332,100,0.005979891348414822,0.09152542372881356
2020-03-12,F,47341,101,0.0039711877653619485,0.09042553191489362
2020-03-12,D,53168,102,0.003423111646102919,0.08791208791208792
2020-03-12,C,52723,103,0.002769189917113973,0.0410958904109589
2020-03-12,A,49161,104,0.0054921584182583754,0.08888888888888889
2020-03-13,F,46915,105,0.0045401257593520195,0.07042253521126761
2020-03-13,D,52545,106,0.003977543058330955,0.05741626794258373
2020-03-13,C,54271,107,0.003169280094341361,0.029069767441860465
2020-03-13,A,50784,108,0.005198487712665407,0.07196969696969698
2020-03-14,F,44206,109,0.005089806813554721,0.09333333333333334
2020-03-14,D,49842,110,0.0033706512579752016,0.07738095238095238
2020-03-14,C,49914,111,0.0031654445646512003,0.0759493670886076
2020-03-14,A,45988,112,0.005762372792902496,0.09056603773584905
2020-03-15,C,27500,113,0.0031272727272727272,0.03488372093023256
